frame_id,timestamp,ego_speed_mps,ego_yaw,road_type,weather,lead_distance_m,cut_in_flag,pedestrian_flag,brake_flag
frame_000001,0.0,25.0,0.0,highway,clear,50.0,0,0,0
frame_000002,0.1,25.0,0.0,highway,clear,50.0,0,0,0
frame_000003,0.2,25.0,0.0,highway,clear,50.0,0,0,0
frame_000004,0.3,25.0,0.0,highway,clear,50.0,0,0,0
frame_000005,0.4,25.0,0.0,highway,clear,50.0,0,0,0
frame_000006,0.5,25.0,0.0,highway,clear,50.0,0,0,0
frame_000007,0.6,25.0,0.0,highway,clear,50.0,0,0,0
frame_000008,0.7,25.0,0.0,highway,clear,50.0,0,0,0
frame_000009,0.8,25.0,0.0,highway,clear,50.0,0,0,0
frame_000010,0.9,25.0,0.0,highway,clear,50.0,0,0,0
frame_000011,1.0,25.0,0.0,highway,clear,50.0,0,0,0
frame_000012,1.1,25.0,0.0,highway,clear,50.0,0,0,0
frame_000013,1.2,25.0,0.0,highway,clear,50.0,0,0,0
frame_000014,1.3,25.0,0.0,highway,clear,50.0,0,0,0
frame_000015,1.4,25.0,0.0,highway,clear,50.0,0,0,0
frame_000016,1.5,25.0,0.0,highway,clear,50.0,0,0,0
frame_000017,1.6,25.0,0.0,highway,clear,50.0,0,0,0
frame_000018,1.7,25.0,0.0,highway,clear,50.0,0,0,0
frame_000019,1.8,25.0,0.0,highway,clear,50.0,0,0,0
frame_000020,1.9,25.0,0.0,highway,clear,50.0,0,0,0
frame_000021,2.0,25.0,0.0,highway,clear,50.0,0,0,0
frame_000022,2.1,25.0,0.0,highway,clear,50.0,0,0,0
frame_000023,2.2,25.0,0.0,highway,clear,50.0,0,0,0
frame_000024,2.3,25.0,0.0,highway,clear,50.0,0,0,0
frame_000025,2.4,25.0,0.0,highway,clear,50.0,0,0,0
frame_000026,2.5,25.0,0.0,highway,clear,50.0,0,0,0
frame_000027,2.6,25.0,0.0,highway,clear,50.0,0,0,0
frame_000028,2.7,25.0,0.0,highway,clear,50.0,0,0,0
frame_000029,2.8,25.0,0.0,highway,clear,50.0,0,0,0
frame_000030,2.9,25.0,0.0,highway,clear,50.0,0,0,0
frame_000031,3.0,25.0,0.0,highway,clear,50.0,0,0,0
frame_000032,3.1,25.0,0.0,highway,clear,50.0,0,0,0
frame_000033,3.2,25.0,0.0,highway,clear,50.0,0,0,0
frame_000034,3.3,25.0,0.0,highway,clear,50.0,0,0,0
frame_000035,3.4,25.0,0.0,highway,clear,50.0,0,0,0
frame_000036,3.5,25.0,0.0,highway,clear,50.0,0,0,0
frame_000037,3.6,25.0,0.0,highway,clear,50.0,0,0,0
frame_000038,3.7,25.0,0.0,highway,clear,50.0,0,0,0
frame_000039,3.8,25.0,0.0,highway,clear,50.0,0,0,0
frame_000040,3.9,25.0,0.0,highway,clear,50.0,0,0,0
frame_000041,4.0,24.400000000000002,0.0,highway,clear,48.50000000000001,0,0,1
frame_000042,4.1,23.8,0.0,highway,clear,47.00000000000001,0,0,1
frame_000043,4.2,23.200000000000003,0.0,highway,clear,45.50000000000001,0,0,1
frame_000044,4.3,22.6,0.0,highway,clear,44.0,0,0,1
frame_000045,4.4,22.0,0.0,highway,clear,42.5,0,0,1
frame_000046,4.5,21.4,0.0,highway,clear,41.0,0,0,1
frame_000047,4.6,20.800000000000004,0.0,highway,clear,39.50000000000001,0,0,1
frame_000048,4.7,20.200000000000003,0.0,highway,clear,38.00000000000001,0,0,1
frame_000049,4.8,19.6,0.0,highway,clear,36.50000000000001,0,0,1
frame_000050,4.9,19.0,0.0,highway,clear,35.0,0,0,1
frame_000051,5.0,18.4,0.0,highway,clear,33.5,0,0,1
frame_000052,5.1,17.8,0.0,highway,clear,32.0,0,0,1
frame_000053,5.2,17.2,0.0,highway,clear,30.5,0,0,1
frame_000054,5.3,16.6,0.0,highway,clear,28.999999999999996,0,0,1
frame_000055,5.4,15.999999999999998,0.0,highway,clear,27.499999999999996,0,0,1
frame_000056,5.5,15.399999999999999,0.0,highway,clear,25.999999999999996,0,0,1
frame_000057,5.6,14.800000000000004,0.0,highway,clear,24.50000000000001,0,0,1
frame_000058,5.7,14.200000000000003,0.0,highway,clear,23.00000000000001,0,0,1
frame_000059,5.8,13.600000000000003,0.0,highway,clear,21.500000000000007,0,0,1
frame_000060,5.9,13.000000000000004,0.0,highway,clear,20.000000000000007,0,0,1
frame_000061,6.0,12.400000000000002,0.0,highway,clear,18.500000000000007,0,0,1
frame_000062,6.1,11.8,0.0,highway,clear,17.000000000000007,0,0,1
frame_000063,6.2,11.200000000000001,0.0,highway,clear,15.5,0,0,1
frame_000064,6.3,10.600000000000001,0.0,highway,clear,14.0,0,0,1
frame_000065,6.4,10.0,0.0,highway,clear,12.5,0,0,1
frame_000066,6.5,9.399999999999999,0.0,highway,clear,11.0,0,0,1
frame_000067,6.6,8.799999999999997,0.0,highway,clear,9.5,0,0,1
frame_000068,6.7,8.2,0.0,highway,clear,7.999999999999993,0,0,1
frame_000069,6.8,7.600000000000005,0.0,highway,clear,6.500000000000014,0,0,1
frame_000070,6.9,7.0000000000000036,0.0,highway,clear,5.000000000000007,0,0,1
frame_000071,7.0,6.400000000000002,0.0,highway,clear,5.0,0,0,1
frame_000072,7.1,5.800000000000004,0.0,highway,clear,5.0,0,0,1
frame_000073,7.2,5.200000000000003,0.0,highway,clear,5.0,0,0,1
frame_000074,7.3,4.600000000000001,0.0,highway,clear,5.0,0,0,1
frame_000075,7.4,4.0,0.0,highway,clear,5.0,0,0,1
frame_000076,7.5,3.400000000000002,0.0,highway,clear,5.0,0,0,1
frame_000077,7.6,2.8000000000000007,0.0,highway,clear,5.0,0,0,1
frame_000078,7.7,2.1999999999999993,0.0,highway,clear,5.0,0,0,1
frame_000079,7.8,1.5999999999999979,0.0,highway,clear,5.0,0,0,1
frame_000080,7.9,1.0,0.0,highway,clear,5.0,0,0,1
frame_000081,8.0,0.3999999999999986,0.0,highway,clear,5.0,0,0,1
frame_000082,8.1,0,0.0,highway,clear,5.0,0,0,1
frame_000083,8.2,0,0.0,highway,clear,5.0,0,0,1
frame_000084,8.3,0,0.0,highway,clear,5.0,0,0,1
frame_000085,8.4,0,0.0,highway,clear,5.0,0,0,1
frame_000086,8.5,0,0.0,highway,clear,5.0,0,0,1
frame_000087,8.6,0,0.0,highway,clear,5.0,0,0,1
frame_000088,8.7,0,0.0,highway,clear,5.0,0,0,1
frame_000089,8.8,0,0.0,highway,clear,5.0,0,0,1
frame_000090,8.9,0,0.0,highway,clear,5.0,0,0,1
frame_000091,9.0,0,0.0,highway,clear,5.0,0,0,1
frame_000092,9.1,0,0.0,highway,clear,5.0,0,0,1
frame_000093,9.2,0,0.0,highway,clear,5.0,0,0,1
frame_000094,9.3,0,0.0,highway,clear,5.0,0,0,1
frame_000095,9.4,0,0.0,highway,clear,5.0,0,0,1
frame_000096,9.5,0,0.0,highway,clear,5.0,0,0,1
frame_000097,9.6,0,0.0,highway,clear,5.0,0,0,1
frame_000098,9.7,0,0.0,highway,clear,5.0,0,0,1
frame_000099,9.8,0,0.0,highway,clear,5.0,0,0,1
frame_000100,9.9,0,0.0,highway,clear,5.0,0,0,1
